frame,t,phase,heavy_x,heavy_y,heavy_z,heavy_vx,heavy_vy,heavy_vz,heavy_sub,light_x,light_y,light_z,light_vx,light_vy,light_vz,light_sub,heavy_fx,heavy_fy,heavy_fz,light_fx,light_fy,light_fz,mass,mass0,mass_rel
410,6.833333,run,0.70750958,0.81608403,0.07998591,-0.03242182,-0.03979680,-0.00008382,0.521638,0.56749767,0.87831277,0.12606055,-0.01142807,0.02057231,-0.01790378,0.268194,-0.00060694,0.00041019,0.00162817,0.00098402,-0.00011442,0.00044070,29120.724609,31245.734375,0.93199040
420,7.000000,run,0.70415044,0.80968827,0.07998597,-0.01404013,-0.02939850,-0.00000423,0.548472,0.57039344,0.88654965,0.12241447,0.03208864,0.05966537,-0.01602448,0.250412,-0.00071821,0.00002330,0.00136870,0.00050583,-0.00032401,0.00055770,29116.281250,31245.734375,0.93184820
430,7.166667,run,0.70328897,0.80818385,0.07998612,0.00460460,0.01417414,0.00000120,0.538272,0.57820451,0.89792627,0.12356275,0.06592940,0.07608961,0.04864542,0.258315,-0.00148793,0.00167484,0.00145926,0.00013919,-0.00031402,0.00042409,29104.177734,31245.734375,0.93146083
440,7.333333,run,0.70763344,0.81428272,0.07998645,0.04632525,0.04966404,-0.00001405,0.566474,0.58627564,0.90633869,0.12894219,0.01841786,0.01497474,-0.00389095,0.261418,-0.00149512,0.00105000,0.00203703,0.00010611,-0.00052310,0.00036682,29095.509766,31245.734375,0.93118342
450,7.500000,run,0.71203095,0.82405382,0.07998752,-0.00681722,0.06613115,0.00001713,0.647709,0.58515930,0.90958917,0.12674382,-0.03006419,0.02356214,0.01470975,0.306606,-0.00322314,0.00249802,0.00610602,0.00002179,-0.00071443,0.00053939,29081.677734,31245.734375,0.93074073
460,7.666667,run,0.70702988,0.83474118,0.07998615,-0.03151937,0.05138103,-0.00000027,0.625037,0.57948804,0.91700685,0.13062173,-0.02365288,0.05673001,0.01111060,0.238581,-0.00046915,0.00005816,0.00260710,0.00032139,-0.00042325,0.00036936,29065.818359,31245.734375,0.93023316
470,7.833333,run,0.70145327,0.83796370,0.07998656,-0.04098401,-0.00629416,-0.00003456,0.561714,0.57561553,0.92428344,0.12807420,-0.02796841,0.02582054,-0.02355300,0.274602,-0.00122989,0.00007494,0.00282766,0.00038290,-0.00041275,0.00061212,29053.501953,31245.734375,0.92983899
480,8.000000,run,0.69383454,0.83581603,0.07998677,-0.04362277,0.00206444,0.00001279,0.626682,0.57181323,0.92899901,0.12500271,-0.01592556,0.04833658,-0.02068670,0.254761,-0.00027349,0.00289554,0.00464069,0.00088021,-0.00048439,0.00056127,29045.144531,31245.734375,0.92957151
490,8.166667,run,0.68804759,0.83935881,0.07998640,-0.03215259,0.02947969,0.00000063,0.562238,0.56795406,0.93644428,0.12182932,-0.02719038,0.04113537,-0.01275702,0.243980,-0.00100306,-0.00064106,0.00247797,0.00032695,-0.00029647,0.00030092,29027.117188,31245.734375,0.92899456
500,8.333333,run,0.68046576,0.84254563,0.07998693,-0.06716908,0.01600817,0.00002064,0.533643,0.56153721,0.94077915,0.12247326,-0.04649149,0.02044106,0.04733361,0.143103,-0.00140908,-0.00081192,0.00247799,0.00033390,-0.00044217,0.00027675,29008.117188,31245.734375,0.92838647
510,8.500000,run,0.66958433,0.84528106,0.07998709,-0.04613536,0.02463942,-0.00000188,0.591606,0.55361199,0.94567996,0.12547632,-0.03181972,0.04306624,-0.00382173,0.220492,0.00003351,0.00188792,0.00390857,0.00069462,-0.00019191,0.00042578,28997.634766,31245.734375,0.92805099
520,8.666667,run,0.66243368,0.85023260,0.07998693,-0.05510356,0.02033927,0.00005269,0.629713,0.54883271,0.95342207,0.12521468,-0.04782676,0.02467562,0.00855421,0.314831,-0.00306808,-0.00068275,0.00363976,0.00022967,-0.00005825,0.00059196,28982.271484,31245.734375,0.92755930
530,8.833333,run,0.65414852,0.85126662,0.07998741,-0.03901145,0.00264009,-0.00001492,0.621109,0.54149866,0.95421016,0.12806511,-0.03691680,-0.00167127,0.01408048,0.267476,-0.00013990,0.00034073,0.00499897,0.00020985,-0.00023880,0.00034747,28964.339844,31245.734375,0.92698541
540,9.000000,run,0.64890969,0.85488766,0.07998713,-0.02148093,0.04154598,-0.00003788,0.636624,0.53629571,0.95748860,0.12887368,-0.01806158,0.04883083,-0.00769187,0.265169,-0.00064409,0.00293440,0.00454439,0.00022174,-0.00009555,0.00034232,28952.542969,31245.734375,0.92660786
550,9.166667,run,0.64639157,0.86309248,0.07998645,-0.01683978,0.04592088,-0.00001945,0.626309,0.53428912,0.96666461,0.12799163,-0.01633070,0.04465703,0.00372513,0.288384,-0.00212735,-0.00009368,0.00325592,0.00014799,-0.00008704,0.00056450,28939.371094,31245.734375,0.92618630
560,9.333333,run,0.64042020,0.86756486,0.07998689,-0.04610886,0.01312617,0.00000420,0.555660,0.53033698,0.97350442,0.12749667,-0.02080809,0.04182057,-0.00525656,0.280991,-0.00032127,-0.00085615,0.00467609,0.00058527,0.00015769,0.00059280,28930.531250,31245.734375,0.92590339
570,9.500000,run,0.63614345,0.86721480,0.07998740,-0.00504318,-0.01169521,0.00002395,0.636141,0.53036129,0.97686946,0.12882109,0.01483236,-0.00174460,0.02080397,0.293399,0.00099679,-0.00009000,0.00557433,0.00014653,-0.00010704,0.00021261,28928.035156,31245.734375,0.92582350
580,9.666667,run,0.63871753,0.86476016,0.07998786,0.02951159,-0.01949398,0.00000296,0.661546,0.53505373,0.97537875,0.13113539,0.03650448,-0.01547230,0.00543903,0.244257,0.00013079,-0.00163914,0.00666795,-0.00012610,-0.00046740,0.00068671,28920.609375,31245.734375,0.92558584
590,9.833333,run,0.64251280,0.86259997,0.07998755,-0.00211055,0.00112500,0.00002326,0.630842,0.53807265,0.97220880,0.13172725,-0.00342785,-0.00552118,0.01185412,0.243445,-0.00392781,0.00067490,0.00407765,-0.00002380,-0.00031174,0.00074439,28908.511719,31245.734375,0.92519866
600,10.000000,run,0.63902259,0.86395955,0.07998809,-0.02330900,0.00514449,-0.00002172,0.615687,0.53451353,0.97145081,0.13586473,-0.01611535,-0.00585373,0.03447615,0.231490,-0.00013595,-0.00109569,0.00604043,0.00009157,-0.00030075,0.00083284,28899.958984,31245.734375,0.92492494
610,10.166667,run,0.63720971,0.86227751,0.07999710,-0.00412743,-0.01363982,0.00000421,0.648541,0.53441107,0.97008085,0.13839467,0.00629912,0.00225491,-0.01098505,0.210516,-0.00067492,-0.00033072,0.00613806,-0.00024532,-0.00010144,0.00076238,28894.960938,31245.734375,0.92476498
620,10.333333,run,0.63678145,0.86178797,0.07999785,0.00354889,0.00331327,0.00133302,0.605555,0.53448713,0.97049010,0.13761064,0.00007194,-0.00389175,0.01206269,0.262071,-0.00048273,-0.00047420,0.00643005,-0.00021123,-0.00007271,0.00082404,28888.585938,31245.734375,0.92456095
630,10.500000,run,0.63706774,0.86244762,0.07999717,0.00158301,0.00101295,0.00001484,0.646136,0.53446811,0.97017026,0.13889021,0.00280119,0.00108447,0.00186847,0.215901,-0.00042574,-0.00042190,0.00662972,-0.00019985,-0.00007365,0.00077110,28881.535156,31245.734375,0.92433530
640,10.666667,run,0.63715762,0.86222452,0.07999721,-0.00261276,-0.00177639,0.00000102,0.643285,0.53542227,0.97078288,0.13885611,0.00816795,0.00644079,0.00364529,0.219339,-0.00064794,-0.00053277,0.00670439,-0.00016929,-0.00002386,0.00080203,28876.423828,31245.734375,0.92417171
